movie_id,rank,title,year,rating,runtime,votes
tt4682266,187.,The New Mutants,(2020),5.3,94 min,"86,797"
tt6998518,188.,Mandy,(I) (2018),6.5,121 min,"86,474"
tt3224458,189.,A Beautiful Day in the Neighborhood,(2019),7.2,109 min,"86,260"
tt5688932,190.,Sorry to Bother You,(2018),6.9,112 min,"86,155"
tt6513120,191.,Fighting with My Family,(2019),7.1,108 min,"85,978"
tt4560436,192.,Mile 22,(2018),6.1,94 min,"85,236"
tt8623904,193.,Last Christmas,(2019),6.5,103 min,"84,982"
tt8350360,194.,Annabelle Comes Home,(2019),5.9,106 min,"84,545"
tt8695030,195.,The Dead Don't Die,(2019),5.5,104 min,"83,800"
tt2531344,196.,Blockers,(2018),6.2,102 min,"83,506"
tt3387520,197.,Scary Stories to Tell in the Dark,(2019),6.2,108 min,"83,430"
tt8075192,198.,Manbiki kazoku,(2018),7.9,121 min,"83,358"
tt8155288,199.,Happy Death Day 2 U,(2019),6.2,100 min,"83,001"
tt1634106,200.,Bloodshot,(2020),5.7,109 min,"82,893"
tt4575576,201.,Christopher Robin,(2018),7.2,104 min,"82,654"
tt5220122,202.,Hotel Transylvania 3: Summer Vacation,(2018),6.3,97 min,"82,234"
tt10554232,203.,Dara iz Jasenovca,(2020),8.1,130 min,"81,642"
tt6663582,204.,The Spy Who Dumped Me,(2018),6.0,117 min,"81,616"
tt6921996,205.,Johnny English Strikes Again,(2018),6.2,89 min,"81,006"
tt3861390,206.,Dumbo,(2019),6.3,112 min,"80,951"
tt7014006,207.,Eighth Grade,(2018),7.4,93 min,"80,945"
tt2709692,208.,The Grinch,(2018),6.4,85 min,"80,685"
tt10618286,209.,Mank,(2020),6.8,131 min,"80,486"
tt6977338,210.,Good Boys,(2019),6.7,90 min,"79,187"
tt2990140,211.,The Christmas Chronicles,(2018),7.0,104 min,"79,021"
tt6472976,212.,Five Feet Apart,(2019),7.2,116 min,"78,917"
tt6679794,213.,Outlaw King,(2018),6.9,121 min,"78,491"
tt5033998,214.,Charlie's Angels,(2019),5.0,118 min,"78,040"
tt4532826,215.,Robin Hood,(2018),5.3,116 min,"78,017"
tt8359848,216.,Climax,(I) (2018),6.9,97 min,"76,493"
tt7638348,217.,Boss Level,(2020),6.8,100 min,"76,456"
tt1137450,218.,Death Wish,(2018),6.3,107 min,"75,056"
tt5613484,219.,Mid90s,(2018),7.3,85 min,"75,038"
tt5719748,220.,Sang-froid,(2019),6.2,119 min,"74,882"
tt9686708,221.,The King of Staten Island,(2020),7.1,136 min,"74,675"
tt10059518,222.,Unhinged,(I) (2020),6.0,90 min,"74,638"
tt9866072,223.,Holidate,(2020),6.1,104 min,"74,469"
tt3513498,224.,The Lego Movie 2: The Second Part,(2019),6.6,107 min,"74,431"
tt10280276,225.,Coolie No. 1,(2020),4.2,134 min,"74,029"
tt4916630,226.,Just Mercy,(2019),7.6,137 min,"73,604"
tt7282468,227.,Beoning,(2018),7.5,148 min,"72,964"
tt2452244,228.,Isn't It Romantic,(2019),5.9,89 min,"72,780"
tt8688634,229.,21 Bridges,(2019),6.6,99 min,"71,980"
tt4477536,230.,Fifty Shades Freed,(2018),4.5,105 min,"71,590"
tt8368406,231.,Vivarium,(2019),5.9,97 min,"70,278"
tt8291224,232.,Uri: The Surgical Strike,(2019),8.2,138 min,"69,663"
tt1846589,233.,Hunter Killer,(2018),6.6,121 min,"69,579"
tt5726086,234.,Insidious: The Last Key,(2018),5.7,103 min,"69,492"
tt8368512,235.,The Courier,(2020),7.2,112 min,"69,351"
tt10919380,236.,Freaky,(2020),6.3,102 min,"69,339"
tt6673612,237.,Dolittle,(2020),5.6,101 min,"69,295"
tt6850820,238.,Peppermint,(2018),6.5,101 min,"69,169"
tt4971344,239.,Les frères Sisters,(2018),6.9,122 min,"68,972"
tt11032374,240.,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),8.2,117 min,"68,924"
tt8637428,241.,The Farewell,(I) (2019),7.5,100 min,"68,915"
tt5461944,242.,Hotel Mumbai,(2018),7.6,123 min,"68,795"
tt6133466,243.,The First Purge,(2018),5.2,97 min,"68,738"
tt6902676,244.,Guns Akimbo,(2019),6.3,98 min,"67,402"
tt5113040,245.,The Secret Life of Pets 2,(2019),6.4,86 min,"67,063"
tt6475714,246.,Monster Hunter,(I) (2020),5.2,103 min,"65,752"
tt4244998,247.,Alpha,(II) (2018),6.6,96 min,"65,342"
tt7043012,248.,Velvet Buzzsaw,(2019),5.7,113 min,"64,883"
tt2388771,249.,Mowgli,(2018),6.5,104 min,"64,776"
tt9731534,250.,The Night House,(2020),6.5,107 min,"64,054"
tt1298644,251.,The Hustle,(I) (2019),5.4,93 min,"64,020"
tt8526872,252.,Dolemite Is My Name,(2019),7.2,118 min,"63,821"
tt3892172,253.,Leave No Trace,(2018),7.1,109 min,"63,779"
tt6079516,254.,I See You,(II) (2019),6.8,98 min,"63,250"
tt6742252,255.,Den skyldige,(2018),7.5,85 min,"62,888"
tt4126476,256.,After,(I) (2019),5.3,105 min,"62,846"
tt4687108,257.,In the Tall Grass,(2019),5.5,101 min,"62,717"
tt5610554,258.,Tully,(2018),6.9,95 min,"62,135"
tt6908274,259.,Durante la tormenta,(2018),7.4,128 min,"62,119"
tt8291806,260.,Dolor y gloria,(2019),7.5,113 min,"61,934"
tt0385887,261.,Motherless Brooklyn,(2019),6.8,144 min,"61,546"
tt6772950,262.,Truth or Dare,(I) (2018),5.2,100 min,"61,491"
tt6398184,263.,Downton Abbey,(2019),7.4,122 min,"61,199"
tt7374948,264.,Always Be My Maybe,(2019),6.8,101 min,"61,184"
tt8784956,265.,Ava,(IV) (2020),5.4,96 min,"60,837"
tt6543652,266.,Zimna wojna,(2018),7.5,89 min,"60,750"
tt9052870,267.,Chhichhore,(2019),8.3,143 min,"60,558"
tt5304992,268.,Set It Up,(2018),6.5,105 min,"60,509"
tt6306064,269.,Adrift,(I) (2018),6.6,96 min,"60,386"
tt9214832,270.,Emma.,(2020),6.7,124 min,"60,166"
tt11655202,271.,Retfærdighedens ryttere,(2020),7.5,116 min,"59,254"
tt8110640,272.,In the Shadow of the Moon,(2019),6.2,115 min,"58,985"
tt6452574,273.,Sanju,(2018),7.6,155 min,"58,823"
