movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
tt7286456,1,1418663,Joker,Joker,2019,8.4,movie,0,122,"Crime,Drama,Thriller"
tt4154796,2,1224982,Avengers: Endgame,Avengers: Endgame,2019,8.4,movie,0,181,"Action,Adventure,Drama"
tt4154756,3,1165186,Avengers: Infinity War,Avengers: Infinity War,2018,8.4,movie,0,149,"Action,Adventure,Sci-Fi"
tt6751668,4,901090,Gisaengchung,Gisaengchung,2019,8.5,movie,0,132,"Comedy,Drama,Thriller"
tt1825683,5,819669,Black Panther,Black Panther,2018,7.3,movie,0,134,"Action,Adventure,Sci-Fi"
tt7131622,6,807837,Once Upon a Time in... Hollywood,Once Upon a Time in... Hollywood,2019,7.6,movie,0,161,"Comedy,Drama"
tt8946378,7,746321,Knives Out,Knives Out,2019,7.9,movie,0,130,"Comedy,Crime,Drama"
tt5463162,10,623699,Deadpool 2,Deadpool 2,2018,7.6,movie,0,119,"Action,Adventure,Comedy"
tt8579674,8,648561,1917,1917,2019,8.2,movie,0,119,"Action,Drama,War"
tt4154664,11,595324,Captain Marvel,Captain Marvel,2019,6.8,movie,0,123,"Action,Adventure,Sci-Fi"
tt1727824,12,573110,Bohemian Rhapsody,Bohemian Rhapsody,2018,7.9,movie,0,134,"Biography,Drama,Music"
tt6644200,13,567170,A Quiet Place,A Quiet Place,2018,7.5,movie,0,90,"Drama,Horror,Sci-Fi"
tt4633694,9,638963,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,8.4,movie,0,117,"Action,Adventure,Animation"
tt1270797,17,522603,Venom,Venom,2018,6.6,movie,0,112,"Action,Adventure,Sci-Fi"
tt6723592,14,566989,Tenet,Tenet,2020,7.3,movie,0,150,"Action,Sci-Fi,Thriller"
tt6966692,15,541298,Green Book,Green Book,2018,8.2,movie,0,130,"Biography,Comedy,Drama"
tt6320628,16,536439,Spider-Man: Far from Home,Spider-Man: Far from Home,2019,7.4,movie,0,129,"Action,Adventure,Sci-Fi"
tt1477834,18,504760,Aquaman,Aquaman,2018,6.8,movie,0,143,"Action,Adventure,Fantasy"
tt2527338,19,480104,Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,2019,6.4,movie,0,141,"Action,Adventure,Fantasy"
tt1677720,20,468156,Ready Player One,Ready Player One,2018,7.4,movie,0,140,"Action,Adventure,Sci-Fi"
tt5095030,22,437771,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,7.0,movie,0,118,"Action,Adventure,Comedy"
tt1517451,26,407883,A Star Is Born,A Star Is Born,2018,7.6,movie,0,136,"Drama,Music,Romance"
tt1302006,24,417782,The Irishman,The Irishman,2019,7.8,movie,0,209,"Biography,Crime,Drama"
tt2584384,23,425451,Jojo Rabbit,Jojo Rabbit,2019,7.9,movie,0,108,"Comedy,Drama,War"
tt1950186,21,442965,Ford v Ferrari,Ford v Ferrari,2019,8.1,movie,0,152,"Action,Biography,Drama"
tt3778644,31,370336,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,6.9,movie,0,135,"Action,Adventure,Sci-Fi"
tt6146586,25,410257,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019,7.4,movie,0,130,"Action,Crime,Thriller"
tt2737304,29,374883,Bird Box,Bird Box,2018,6.6,movie,0,124,"Horror,Sci-Fi"
tt4912910,32,367926,Mission: Impossible - Fallout,Mission: Impossible - Fallout,2018,7.7,movie,0,147,"Action,Adventure,Thriller"
tt0448115,28,375250,Shazam!,Shazam!,2019,7.0,movie,0,132,"Action,Adventure,Comedy"
tt2798920,35,351307,Annihilation,Annihilation,2018,6.8,movie,0,115,"Adventure,Drama,Horror"
tt8367814,30,374819,The Gentlemen,The Gentlemen,2019,7.8,movie,0,113,"Action,Comedy,Crime"
tt2948372,33,361508,Soul,Soul,2020,8.0,movie,0,100,"Adventure,Animation,Comedy"
tt4881806,36,335940,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,6.1,movie,0,128,"Action,Adventure,Sci-Fi"
tt7653254,37,335206,Marriage Story,Marriage Story,2019,7.9,movie,0,137,"Drama,Romance"
tt7784604,34,360799,Hereditary,Hereditary,2018,7.3,movie,0,127,"Drama,Horror,Mystery"
tt3606756,39,320421,Incredibles 2,Incredibles 2,2018,7.6,movie,0,118,"Action,Adventure,Animation"
tt8772262,27,377352,Midsommar,Midsommar,2019,7.1,movie,0,148,"Drama,Horror,Mystery"
tt6857112,38,330011,Us,Us,2019,6.8,movie,0,116,"Horror,Mystery,Thriller"
tt5727208,40,306880,Uncut Gems,Uncut Gems,2019,7.4,movie,0,135,"Crime,Drama,Thriller"
tt0437086,43,286433,Alita: Battle Angel,Alita: Battle Angel,2019,7.3,movie,0,122,"Action,Adventure,Sci-Fi"
tt6139732,45,283620,Aladdin,Aladdin,2019,6.9,movie,0,128,"Adventure,Comedy,Family"
tt7349662,46,282761,BlacKkKlansman,BlacKkKlansman,2018,7.5,movie,0,135,"Biography,Comedy,Crime"
tt4123430,41,301053,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,movie,0,134,"Adventure,Family,Fantasy"
tt7126948,44,285783,Wonder Woman 1984,Wonder Woman 1984,2020,5.4,movie,0,151,"Action,Adventure,Fantasy"
tt7349950,42,292362,It Chapter Two,It Chapter Two,2019,6.5,movie,0,169,"Drama,Fantasy,Horror"
tt6105098,51,261027,The Lion King,The Lion King,2019,6.8,movie,0,118,"Adventure,Animation,Drama"
tt1979376,49,271255,Toy Story 4,Toy Story 4,2019,7.7,movie,0,100,"Adventure,Animation,Comedy"
tt7975244,48,272550,Jumanji: The Next Level,Jumanji: The Next Level,2019,6.7,movie,0,123,"Action,Adventure,Comedy"
tt6823368,52,260566,Glass,Glass,2019,6.6,movie,0,129,"Drama,Sci-Fi,Thriller"
tt2704998,57,250296,Game Night,Game Night,2018,6.9,movie,0,100,"Action,Comedy,Crime"
tt2935510,55,254256,Ad Astra,Ad Astra,2019,6.5,movie,0,123,"Adventure,Drama,Mystery"
tt7713068,54,257958,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,movie,0,109,"Action,Adventure,Comedy"
tt9243946,47,280532,El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie,2019,7.3,movie,0,122,"Action,Crime,Drama"
tt1051906,58,246820,The Invisible Man,The Invisible Man,2020,7.1,movie,0,124,"Drama,Horror,Mystery"
tt5164214,60,235943,Ocean's Eight,Ocean's Eight,2018,6.3,movie,0,110,"Action,Comedy,Crime"
tt1365519,63,223237,Tomb Raider,Tomb Raider,2018,6.3,movie,0,119,"Action,Adventure,Fantasy"
tt8228288,53,259133,El hoyo,El hoyo,2019,7.0,movie,0,94,"Horror,Sci-Fi,Thriller"
tt6806448,62,229796,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,movie,0,137,"Action,Adventure,Thriller"
