movie_id,titleType,originalTitle,isAdult,genres
tt5848272,movie,Ralph Breaks the Internet,0,"Adventure,Animation,Comedy"
tt8079248,movie,Yesterday,0,"Comedy,Fantasy,Music"
tt9770150,movie,Nomadland,0,Drama
tt9484998,movie,Palm Springs,0,"Comedy,Fantasy,Mystery"
tt1502407,movie,Halloween,0,"Crime,Horror,Thriller"
tt7040874,movie,A Simple Favor,0,"Comedy,Crime,Mystery"
tt6628394,movie,Bad Times at the El Royale,0,"Crime,Drama,Mystery"
tt4566758,movie,Mulan,0,"Action,Adventure,Drama"
tt5052474,movie,Sicario: Day of the Soldado,0,"Action,Adventure,Crime"
tt6266538,movie,Vice,0,"Biography,Comedy,Drama"
tt6412452,movie,The Ballad of Buster Scruggs,0,"Comedy,Drama,Musical"
tt4729430,movie,Klaus,0,"Adventure,Animation,Comedy"
tt7798634,movie,Ready or Not,0,"Action,Comedy,Horror"
tt7146812,movie,Onward,0,"Adventure,Animation,Comedy"
tt10288566,movie,Druk,0,"Comedy,Drama"
tt13143964,movie,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,0,Comedy
tt5814060,movie,The Nun,0,"Horror,Mystery,Thriller"
tt7959026,movie,The Mule,0,"Crime,Drama,Thriller"
tt4500922,movie,Maze Runner: The Death Cure,0,"Action,Adventure,Sci-Fi"
tt2854926,movie,Tag,0,"Action,Comedy"
tt2283336,movie,Men in Black: International,0,"Action,Adventure,Comedy"
tt8110330,movie,Dil Bechara,0,"Comedy,Drama,Romance"
tt3829266,movie,The Predator,0,"Action,Adventure,Sci-Fi"
tt10272386,movie,The Father,0,"Drama,Mystery"
tt9893250,movie,I Care a Lot,0,"Comedy,Crime,Drama"
tt9495224,movie,Black Mirror: Bandersnatch,0,"Drama,Fantasy,Mystery"
tt7395114,movie,The Devil All the Time,0,"Crime,Drama,Thriller"
tt1488606,movie,Triple Frontier,0,"Action,Adventure,Crime"
tt1571234,movie,Mortal Engines,0,"Action,Adventure,Fantasy"
tt2386490,movie,How to Train Your Dragon: The Hidden World,0,"Action,Adventure,Animation"
tt8404614,movie,The Two Popes,0,"Biography,Comedy,Drama"
tt1618434,movie,Murder Mystery,0,"Action,Comedy,Crime"
tt6343314,movie,Creed II,0,"Drama,Sport"
tt5758778,movie,Skyscraper,0,"Action,Adventure,Thriller"
tt2222042,movie,Love and Monsters,0,"Action,Adventure,Comedy"
tt7984766,movie,The King,0,"Biography,Drama,History"
tt5363618,movie,Sound of Metal,0,"Drama,Music"
tt3794354,movie,Sonic the Hedgehog,0,"Action,Adventure,Comedy"
tt2557478,movie,Pacific Rim: Uprising,0,"Action,Adventure,Sci-Fi"
tt5886046,movie,Escape Room,0,"Action,Adventure,Horror"
tt1590193,movie,The Commuter,0,"Action,Mystery,Thriller"
tt1489887,movie,Booksmart,0,Comedy
tt5164432,movie,"Love, Simon",0,"Comedy,Drama,Romance"
tt6394270,movie,Bombshell,0,"Biography,Drama"
tt1025100,movie,Gemini Man,0,"Action,Adventure,Sci-Fi"
tt7737786,movie,Greenland,0,"Action,Drama,Sci-Fi"
tt10189514,movie,Soorarai Pottru,0,Drama
tt2139881,movie,Long Shot,0,"Comedy,Romance"
tt1259528,movie,Den of Thieves,0,"Action,Crime,Drama"
tt2548396,movie,The Cloverfield Paradox,0,"Action,Horror,Sci-Fi"
tt7401588,movie,Instant Family,0,"Comedy,Drama"
tt3846674,movie,To All the Boys I've Loved Before,0,"Comedy,Drama,Romance"
tt8244784,movie,The Hunt,0,"Action,Horror,Thriller"
tt4777008,movie,Maleficent: Mistress of Evil,0,"Adventure,Family,Fantasy"
tt4530422,movie,Overlord,0,"Action,Horror,Sci-Fi"
tt5503686,movie,Hustlers,0,"Comedy,Crime,Drama"
tt4218572,movie,Widows,0,"Crime,Drama,Thriller"
tt7886848,movie,Sadak 2,0,"Action,Drama"
tt1206885,movie,Rambo: Last Blood,0,"Action,Thriller"
tt6189022,movie,Angel Has Fallen,0,"Action,Thriller"
tt7752126,movie,Brightburn,0,"Drama,Horror,Mystery"
tt6911608,movie,Mamma Mia! Here We Go Again,0,"Comedy,Musical,Romance"
tt6048922,movie,Greyhound,0,"Action,Drama,History"
tt0837563,movie,Pet Sematary,0,"Horror,Mystery,Thriller"
tt8580274,movie,Eurovision Song Contest: The Story of Fire Saga,0,"Comedy,Musical"
tt2481498,movie,"Extremely Wicked, Shockingly Evil and Vile",0,"Biography,Crime,Drama"
tt8108198,movie,Andhadhun,0,"Comedy,Crime,Music"
tt6292852,movie,I Am Mother,0,"Drama,Mystery,Sci-Fi"
tt4364194,movie,The Peanut Butter Falcon,0,"Adventure,Comedy,Drama"
tt1860242,movie,The Highwaymen,0,"Biography,Crime,Drama"
tt2274648,movie,Hellboy,0,"Action,Adventure,Fantasy"
tt4139588,movie,Polar,0,"Action,Crime,Drama"
tt5028340,movie,Mary Poppins Returns,0,"Adventure,Comedy,Family"
tt8629748,movie,Spenser Confidential,0,"Action,Comedy,Crime"
tt8613070,movie,Portrait de la jeune fille en feu,0,"Drama,Romance"
tt7550000,movie,Project Power,0,"Action,Crime,Sci-Fi"
tt8503618,movie,Hamilton,0,"Biography,Drama,History"
tt6878306,movie,News of the World,0,"Action,Adventure,Drama"
tt8267604,movie,Capharnaüm,0,Drama
tt9071322,movie,Dark Waters,0,"Biography,Drama,History"
tt3513548,movie,Richard Jewell,0,"Biography,Crime,Drama"
tt8364368,movie,Crawl,0,"Action,Adventure,Horror"
tt10539608,movie,The Midnight Sky,0,"Adventure,Drama,Fantasy"
tt10554232,movie,Dara iz Jasenovca,0,"Drama,War"
tt6924650,movie,Midway,0,"Action,Drama,History"
tt3799232,movie,The Kissing Booth,0,"Comedy,Romance"
tt7939766,movie,I'm Thinking of Ending Things,0,"Drama,Thriller"
tt6513120,movie,Fighting with My Family,0,"Biography,Comedy,Drama"
tt2531344,movie,Blockers,0,Comedy
tt5774060,movie,Underwater,0,"Action,Horror,Sci-Fi"
tt7456310,movie,Anna,0,"Action,Thriller"
tt4560436,movie,Mile 22,0,"Action,Thriller"
tt1413492,movie,12 Strong,0,"Action,Drama,History"
tt6663582,movie,The Spy Who Dumped Me,0,"Action,Adventure,Comedy"
tt4575576,movie,Christopher Robin,0,"Adventure,Animation,Comedy"
tt3224458,movie,A Beautiful Day in the Neighborhood,0,"Biography,Drama"
tt8623904,movie,Last Christmas,0,"Comedy,Drama,Fantasy"
tt1634106,movie,Bloodshot,0,"Action,Adventure,Sci-Fi"
tt6998518,movie,Mandy,0,"Action,Fantasy,Horror"
tt8695030,movie,The Dead Don't Die,0,"Comedy,Fantasy,Horror"
tt10886166,movie,365 dni,0,"Drama,Romance"
tt5688932,movie,Sorry to Bother You,0,"Comedy,Drama,Fantasy"
tt3861390,movie,Dumbo,0,"Adventure,Family,Fantasy"
tt10280276,movie,Coolie No. 1,0,"Action,Comedy,Romance"
tt7014006,movie,Eighth Grade,0,"Comedy,Drama"
tt3387520,movie,Scary Stories to Tell in the Dark,0,"Adventure,Horror,Mystery"
tt8075192,movie,Manbiki kazoku,0,"Crime,Drama"
tt1034415,movie,Suspiria,0,"Drama,Fantasy,Horror"
tt4682266,movie,The New Mutants,0,"Action,Horror,Mystery"
tt6977338,movie,Good Boys,0,"Adventure,Comedy"
tt6921996,movie,Johnny English Strikes Again,0,"Action,Adventure,Comedy"
